nBids Const PowerSeller VerifyID Sealed Minblem MajBlem LargNeg LogBook MinBidShare
2 1 0 0 0 0 0 0 -0.2237 -0.2088
6 1 1 0 0 0 0 0 0.6073 -0.3478
1 1 1 0 0 0 0 0 0.0332 0.4423
1 1 0 0 0 1 0 0 0.3755 0.1441
4 1 0 0 0 0 0 1 1.4347 -0.4104
2 1 0 0 0 0 0 0 -0.9142 0.6318
2 1 0 0 0 1 0 0 -0.2477 0.2953
2 1 0 0 0 0 0 0 -0.9142 0.6318
3 1 0 0 0 0 0 0 0.7365 0.2605
0 1 0 0 0 0 0 0 0.0332 0.9407
1 1 0 0 0 0 0 0 -1.0254 0.6564
2 1 0 0 0 0 0 0 -1.1506 0.5543
7 1 0 0 0 0 0 0 1.0758 -0.4843
7 1 0 0 0 0 0 0 1.4347 -0.5125
6 1 0 0 0 0 1 0 0.5108 -0.4134
1 1 1 0 0 0 0 0 -0.6398 0.7415
6 1 0 0 0 0 0 0 0.7365 -0.4375
4 1 1 0 0 0 0 0 -0.6398 -0.1385
1 1 1 0 0 0 0 0 -1.0254 0.5976
3 1 1 0 0 0 0 0 -0.9142 0.4739
0 1 0 0 0 0 0 0 0.0332 0.4835
6 1 1 0 0 0 0 0 -0.6398 -0.1385
4 1 1 0 0 0 0 0 -0.1723 -0.3025
1 1 0 0 0 0 0 0 -0.5628 0.4956
3 1 1 0 0 0 0 0 -0.8141 0.3737
4 1 1 0 0 0 0 0 -0.4608 0.3186
3 1 1 0 0 0 0 0 -1.0254 -0.0506
1 1 0 0 0 0 0 0 -0.7231 0.5954
0 1 0 0 0 0 0 0 -0.3033 0.9046
0 1 0 0 0 0 0 0 0.0332 0.4427
0 1 0 0 0 0 0 0 0.0332 1.0509
2 1 0 0 0 0 1 0 -0.0767 -0.2615
3 1 0 0 0 0 1 0 -0.2477 -0.2025
3 1 0 0 0 0 0 0 -0.6398 -0.2585
9 1 0 0 0 0 0 0 0.3755 -0.3896
4 1 1 0 0 0 0 0 -0.052 -0.0044
6 1 0 0 0 0 0 0 0.3755 -0.1432
6 1 0 0 0 0 0 1 1.9993 -0.5337
1 1 0 0 0 0 0 0 0.234 -0.1119
2 1 0 0 0 0 0 0 -0.6044 0.5026
3 1 1 0 0 0 0 0 -0.8141 -0.0072
3 1 1 0 0 0 0 0 -0.7231 -0.0568
5 1 1 0 0 0 0 0 -1.0254 0.127
4 1 1 0 0 0 0 0 -0.7231 -0.0568
3 1 1 0 0 0 0 0 -1.0254 0.127
3 1 1 0 0 1 0 0 -1.0923 0.1758
3 1 1 0 0 0 0 0 -0.9142 0.0528
4 1 0 0 0 0 0 0 0.404 -0.1554
1 1 1 0 0 0 0 0 0.5108 0.5556
4 1 1 1 0 0 0 0 0.9205 -0.494
6 1 0 0 0 0 0 1 0.674 -0.4381
0 1 1 0 0 0 0 0 0.1487 0.695
2 1 1 0 0 0 0 0 -1.0254 0.5517
2 1 1 0 0 0 0 0 -0.9142 0.5276
7 1 0 0 0 0 0 0 0.404 -0.3244
2 1 1 0 0 0 0 0 -0.9142 0.5065
1 1 1 0 0 0 0 0 -0.5628 0.3927
5 1 0 0 0 0 0 0 0.404 -0.4153
2 1 1 0 0 0 0 0 -0.8141 -0.0072
0 1 1 0 0 1 0 0 2.8247 0.1852
4 1 1 0 0 0 0 0 -0.7231 -0.0568
3 1 1 0 0 0 0 0 -0.8141 -0.0072
1 1 1 0 0 0 0 0 -1.0254 0.127
1 1 1 0 0 0 0 0 -1.0254 0.127
